Query_ID,Query_Content,Target_LSU/Path,Complexity,Expert1_Decision,Expert1_Academic_Rationale,Expert2_Decision,Expert2_Practitioner_Rationale,Final_Status
T1_PROV_VUK_M334,Vergi Usul Kanunu Madde 334 ne hükmeder?,VUK_M334,1-hop,ACCEPT,"Sorgu, mevzuatın lafzına ve ruhuna uygun. Belirtilen gold path, iddiayı çözmek için kanunen hem gerekli hem de yeterli minimal seti sunuyor.",ACCEPT,"Avukatlık pratiğinde sıkça karşılaşılan bir senaryo. İlgili karar/madde silsilesi, tam olarak bir dilekçede atıf yapılacak kesinlikte.",VALIDATED
T1_PROV_TCK_M275,Türk Ceza Kanunu Madde 275 ne hükmeder?,TCK_M275,1-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Avukatlık pratiğinde sıkça karşılaşılan bir senaryo. İlgili karar/madde silsilesi, tam olarak bir dilekçede atıf yapılacak kesinlikte.",VALIDATED
T1_PROV_TBK_M284,Türk Borçlar Kanunu Madde 284 ne hükmeder?,TBK_M284,1-hop,ACCEPT,"Sorgu, mevzuatın lafzına ve ruhuna uygun. Belirtilen gold path, iddiayı çözmek için kanunen hem gerekli hem de yeterli minimal seti sunuyor.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
T1_PROV_TMK_M953,Türk Medeni Kanunu'nun 953. maddesi hangi yükümlülüğü düzenler?,TMK_M953,1-hop,ACCEPT,"Sorgu, mevzuatın lafzına ve ruhuna uygun. Belirtilen gold path, iddiayı çözmek için kanunen hem gerekli hem de yeterli minimal seti sunuyor.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
T1_PROV_TMK_M706,Türk Medeni Kanunu'nun 706. maddesi hangi yükümlülüğü düzenler?,TMK_M706,1-hop,ACCEPT,"Kararın veya normun zamansal geçerliliği ve normlar hiyerarşisi, sorgunun beklentisiyle uyum içerisinde. Doğrulanmıştır.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
T1_PROV_TMK_M519,Türk Medeni Kanunu Madde 519 ne hükmeder?,TMK_M519,1-hop,ACCEPT,"Sorgu, mevzuatın lafzına ve ruhuna uygun. Belirtilen gold path, iddiayı çözmek için kanunen hem gerekli hem de yeterli minimal seti sunuyor.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
T1_PROV_CMK_M161,Ceza Muhakemesi Kanunu'nun 161. maddesi hangi yükümlülüğü düzenler?,CMK_M161,1-hop,ACCEPT,"Kararın veya normun zamansal geçerliliği ve normlar hiyerarşisi, sorgunun beklentisiyle uyum içerisinde. Doğrulanmıştır.",ACCEPT,"Müvekkil açısından pratik bir problem. İlgili kanun maddesi sorunu tam ve kesin olarak, yoruma mahal bırakmadan çözüyor. Onaylıyorum.",VALIDATED
T1_PROV_TCK_M201,Türk Ceza Kanunu Madde 201 ne hükmeder?,TCK_M201,1-hop,ACCEPT,"Hukuki olay (issue) ile hukuki kural (rule) ilişkisi doğru kurulmuş. Hedef referans belgesi, problemi bağlayıcı olarak çözmektedir.",ACCEPT,"Avukatlık pratiğinde sıkça karşılaşılan bir senaryo. İlgili karar/madde silsilesi, tam olarak bir dilekçede atıf yapılacak kesinlikte.",VALIDATED
T1_PROV_IIK_M266,İcra ve İflas Kanunu'nun 266. maddesi hangi yükümlülüğü düzenler?,IIK_M266,1-hop,ACCEPT,"Hukuki olay (issue) ile hukuki kural (rule) ilişkisi doğru kurulmuş. Hedef referans belgesi, problemi bağlayıcı olarak çözmektedir.",ACCEPT,"Müvekkil açısından pratik bir problem. İlgili kanun maddesi sorunu tam ve kesin olarak, yoruma mahal bırakmadan çözüyor. Onaylıyorum.",VALIDATED
T1_PROV_TTK_M1074,Türk Ticaret Kanunu'nun 1074. maddesi hangi yükümlülüğü düzenler?,TTK_M1074,1-hop,ACCEPT,"Hukuki olay (issue) ile hukuki kural (rule) ilişkisi doğru kurulmuş. Hedef referans belgesi, problemi bağlayıcı olarak çözmektedir.",ACCEPT,"Avukatlık pratiğinde sıkça karşılaşılan bir senaryo. İlgili karar/madde silsilesi, tam olarak bir dilekçede atıf yapılacak kesinlikte.",VALIDATED
